,0,1
244,BBWI,DFS
245,BBWI,DG
246,BBWI,HCA
247,BBWI,HLT
248,BBWI,HUM
249,BBWI,MGM
250,BBWI,PRU
251,BBWI,PWR
252,BBWI,TDG
253,BBWI,UNH
254,BBWI,V
255,BBWI,WMT
256,BDX,BLK
257,BDX,BA
258,BDX,CARR
259,BDX,CDAY
260,BDX,COO
261,BDX,GLW
262,BDX,DHR
263,BDX,ECL
264,BDX,EFX
265,BDX,EL
266,BDX,FDX
267,BDX,BEN
268,BDX,GE
269,BDX,GS
270,BDX,HPE
271,BDX,HD
272,BDX,ITW
273,BDX,ICE
274,BDX,IVZ
275,BDX,KEYS
276,BDX,LH
277,BDX,MLM
278,BDX,MA
279,BDX,MTD
280,BDX,MCO
281,BDX,MSCI
282,BDX,NKE
283,BDX,OTIS
284,BDX,PPG
285,BDX,PEG
286,BDX,DGX
287,BDX,SHW
288,BDX,STT
289,BDX,TPR
290,BDX,TMO
291,BDX,UPS
292,BDX,V
293,BDX,WAT
294,WRB,CDAY
295,WRB,DHR
296,WRB,ECL
297,WRB,ELV
298,WRB,FRC
299,WRB,LOW
300,WRB,MRO
301,WRB,MAS
302,WRB,PNC
303,WRB,TMO
304,WRB,TYL
305,WRB,YUM
306,BBY,DFS
307,BBY,EFX
308,BBY,HD
309,BBY,IPG
310,BBY,IVZ
311,BBY,NSC
312,BBY,RL
313,BBY,TMO
314,BBY,V
315,BIO,COP
316,BIO,DVN
317,BIO,XOM
318,BIO,FRC
319,BIO,NOW
320,BIO,ZTS
321,BLK,CNP
322,BLK,CDAY
323,BLK,CMS
324,BLK,DHR
325,BLK,DTE
326,BLK,DUK
327,BLK,EIX
328,BLK,ES
329,BLK,FE
330,BLK,HD
331,BLK,NI
332,BLK,ORCL
333,BLK,PEG
334,BLK,SRE
335,BLK,TPR
336,BLK,TMO
337,BK,CDAY
338,BK,EQT
339,BK,HD
340,BK,NVR
341,BK,PHM
342,BK,RL
343,BA,DHI
344,BA,HD
345,BWA,CDAY
346,BWA,GS
347,BWA,HD
348,BWA,ITW
349,BWA,MTD
350,BWA,MS
351,BWA,OXY
352,BWA,OTIS
353,BWA,PM
354,BWA,DGX
355,BSX,CDAY
356,BSX,DHI
357,BSX,HD
358,BSX,JCI
359,BSX,LEN
360,BSX,VMC
361,BMY,CL
362,BMY,STZ
363,BMY,DPZ
364,BMY,EL
365,BMY,IRM
366,BMY,KMB
367,BMY,MAS
368,BMY,TAP
369,BMY,OTIS
370,BMY,PPL
371,BMY,PHM
372,BMY,SHW
373,BMY,TMO
374,BMY,WMB
375,BMY,YUM
376,BR,CNC
377,BR,MTB
378,BR,TAP
379,BR,PAYC
380,BRO,DHR
381,BRO,TMO
382,BRO,VLO
383,CARR,CNP
384,CARR,CDAY
385,CARR,CVS
386,CARR,DUK
387,CARR,EIX
388,CARR,FE
